143.105 -0.325 5.764
144.334 0.707 6.066
225.914 1.841 3.970
26.597 2.508 6.157
210.756 11.564 4.616
29.133 19.521 5.279
187.443 26.269 7.178
275.799 26.042 3.405
7.561 39.953 3.990
26.882 40.700 4.624
173.411 43.331 6.811
220.932 46.131 4.080
23.081 49.139 3.746
192.153 54.374 4.971
182.949 56.287 6.397
125.733 60.149 8.054
105.443 61.927 3.973
123.308 64.572 7.976
57.733 66.139 4.448
180.015 66.365 6.979
182.834 68.994 6.600
82.964 74.442 3.460
136.515 75.131 7.419
48.892 81.755 5.413
113.713 83.640 5.493
61.601 99.305 5.313
65.938 100.375 5.691
258.278 104.063 6.743
163.058 105.824 5.092
166.689 106.449 5.002
146.813 118.629 6.280
178.656 122.951 6.262
138.660 132.508 6.213
152.569 132.573 6.101
218.626 132.950 4.218
209.650 140.170 5.204
8.099 148.501 7.113
37.807 149.832 5.629
268.194 151.171 4.137
125.541 156.885 3.881
28.725 161.111 6.939
185.910 160.540 4.208
35.752 212.545 7.706
128.832 254.636 5.109
121.066 257.967 6.060
149.236 262.881 4.390
195.890 266.698 3.822
38.272 268.090 6.767
110.150 272.609 5.637
207.068 279.596 4.605
